source,section,requirement,owning_goal,implementation_location,authoritative_evidence,result,remediation,final_evidence
docs/magic-sequence.md:97,No ordinary matter from magic,"What existing physical state, matter, organism, or relationship changes?",master,src/arcane.rs; src/arcane_geography.rs; src/arcane_ecology.rs; src/discovery.rs; src/implements.rs; src/workings.rs; src/alchemy.rs; src/dross.rs,randomized_bind_split_merge_activate_disorder_cleanse_loss_recovery_balances; solo_host_dedicated_and_loopback_apply_identical_authoritative_results; arcane_ire_and_dross_four_states_persist_independently,proven,goals 1-8 implementation plus Goal 9 integrated audit,docs/magic-qualification-implementation.md
docs/magic-sequence.md:98,No ordinary matter from magic,From which named reservoir does its Current come?,master,src/arcane.rs; src/arcane_geography.rs; src/arcane_ecology.rs; src/discovery.rs; src/implements.rs; src/workings.rs; src/alchemy.rs; src/dross.rs,randomized_bind_split_merge_activate_disorder_cleanse_loss_recovery_balances; solo_host_dedicated_and_loopback_apply_identical_authoritative_results; arcane_ire_and_dross_four_states_persist_independently,proven,goals 1-8 implementation plus Goal 9 integrated audit,docs/magic-qualification-implementation.md
docs/magic-sequence.md:99,No ordinary matter from magic,Where do its charge and dross go when it ends?,master,src/arcane.rs; src/arcane_geography.rs; src/arcane_ecology.rs; src/discovery.rs; src/implements.rs; src/workings.rs; src/alchemy.rs; src/dross.rs,randomized_bind_split_merge_activate_disorder_cleanse_loss_recovery_balances; solo_host_dedicated_and_loopback_apply_identical_authoritative_results; arcane_ire_and_dross_four_states_persist_independently,proven,goals 1-8 implementation plus Goal 9 integrated audit,docs/magic-qualification-implementation.md
docs/magic-sequence.md:103,No ordinary matter from magic,"creating blocks or items without an accounted material source,",master,src/arcane.rs; src/arcane_geography.rs; src/arcane_ecology.rs; src/discovery.rs; src/implements.rs; src/workings.rs; src/alchemy.rs; src/dross.rs,randomized_bind_split_merge_activate_disorder_cleanse_loss_recovery_balances; solo_host_dedicated_and_loopback_apply_identical_authoritative_results; arcane_ire_and_dross_four_states_persist_independently,proven,goals 1-8 implementation plus Goal 9 integrated audit,docs/magic-qualification-implementation.md
docs/magic-sequence.md:104,No ordinary matter from magic,"converting coal to diamond, lead to gold, or one ordinary material identity",master,src/arcane.rs; src/arcane_geography.rs; src/arcane_ecology.rs; src/discovery.rs; src/implements.rs; src/workings.rs; src/alchemy.rs; src/dross.rs,randomized_bind_split_merge_activate_disorder_cleanse_loss_recovery_balances; solo_host_dedicated_and_loopback_apply_identical_authoritative_results; arcane_ire_and_dross_four_states_persist_independently,proven,goals 1-8 implementation plus Goal 9 integrated audit,docs/magic-qualification-implementation.md
docs/magic-sequence.md:106,No ordinary matter from magic,"duplicating inventories or fluids,",master,src/arcane.rs; src/arcane_geography.rs; src/arcane_ecology.rs; src/discovery.rs; src/implements.rs; src/workings.rs; src/alchemy.rs; src/dross.rs,randomized_bind_split_merge_activate_disorder_cleanse_loss_recovery_balances; solo_host_dedicated_and_loopback_apply_identical_authoritative_results; arcane_ire_and_dross_four_states_persist_independently,proven,goals 1-8 implementation plus Goal 9 integrated audit,docs/magic-qualification-implementation.md
docs/magic-sequence.md:107,No ordinary matter from magic,"infinite water, fuel, food, repair, healing, or crop growth,",master,src/arcane.rs; src/arcane_geography.rs; src/arcane_ecology.rs; src/discovery.rs; src/implements.rs; src/workings.rs; src/alchemy.rs; src/dross.rs,randomized_bind_split_merge_activate_disorder_cleanse_loss_recovery_balances; solo_host_dedicated_and_loopback_apply_identical_authoritative_results; arcane_ire_and_dross_four_states_persist_independently,proven,goals 1-8 implementation plus Goal 9 integrated audit,docs/magic-qualification-implementation.md
docs/magic-sequence.md:108,No ordinary matter from magic,"teleportation,",master,src/arcane.rs; src/arcane_geography.rs; src/arcane_ecology.rs; src/discovery.rs; src/implements.rs; src/workings.rs; src/alchemy.rs; src/dross.rs,randomized_bind_split_merge_activate_disorder_cleanse_loss_recovery_balances; solo_host_dedicated_and_loopback_apply_identical_authoritative_results; arcane_ire_and_dross_four_states_persist_independently,proven,goals 1-8 implementation plus Goal 9 integrated audit,docs/magic-qualification-implementation.md
docs/magic-sequence.md:109,No ordinary matter from magic,"permanent free flight,",master,src/arcane.rs; src/arcane_geography.rs; src/arcane_ecology.rs; src/discovery.rs; src/implements.rs; src/workings.rs; src/alchemy.rs; src/dross.rs,randomized_bind_split_merge_activate_disorder_cleanse_loss_recovery_balances; solo_host_dedicated_and_loopback_apply_identical_authoritative_results; arcane_ire_and_dross_four_states_persist_independently,proven,goals 1-8 implementation plus Goal 9 integrated audit,docs/magic-qualification-implementation.md
docs/magic-sequence.md:110,No ordinary matter from magic,"bypassing tool tiers, workshops, transport, or finite-resource manifests",master,src/arcane.rs; src/arcane_geography.rs; src/arcane_ecology.rs; src/discovery.rs; src/implements.rs; src/workings.rs; src/alchemy.rs; src/dross.rs,randomized_bind_split_merge_activate_disorder_cleanse_loss_recovery_balances; solo_host_dedicated_and_loopback_apply_identical_authoritative_results; arcane_ire_and_dross_four_states_persist_independently,proven,goals 1-8 implementation plus Goal 9 integrated audit,docs/magic-qualification-implementation.md
docs/magic-sequence.md:139,One physical world,"Growth still consumes water, nutrients, substrate, and time.",master,src/arcane.rs; src/arcane_geography.rs; src/arcane_ecology.rs; src/discovery.rs; src/implements.rs; src/workings.rs; src/alchemy.rs; src/dross.rs,randomized_bind_split_merge_activate_disorder_cleanse_loss_recovery_balances; solo_host_dedicated_and_loopback_apply_identical_authoritative_results; arcane_ire_and_dross_four_states_persist_independently,proven,goals 1-8 implementation plus Goal 9 integrated audit,docs/magic-qualification-implementation.md
docs/magic-sequence.md:140,One physical world,Healing still consumes the body's food reserve and appropriate reagents.,master,src/arcane.rs; src/arcane_geography.rs; src/arcane_ecology.rs; src/discovery.rs; src/implements.rs; src/workings.rs; src/alchemy.rs; src/dross.rs,randomized_bind_split_merge_activate_disorder_cleanse_loss_recovery_balances; solo_host_dedicated_and_loopback_apply_identical_authoritative_results; arcane_ire_and_dross_four_states_persist_independently,proven,goals 1-8 implementation plus Goal 9 integrated audit,docs/magic-qualification-implementation.md
